contented,"['satisfied', 'pleased', 'glad', 'content', 'comfortable']"
reliable,"['good', 'solid', 'positive', 'safe', 'steady', 'honest', 'stable', 'strong', 'decent', 'careful', 'certain', 'constant', 'determined', 'devoted', 'firm', 'loyal', 'okay', 'proved', 'responsible', 'sound', 'sure', 'tried', 'true']"
safe,"['protected', 'intact', 'secure', 'guarded', 'sheltered', 'watched', 'maintained', 'preserved', 'tended']"
protected,"['guarded', 'guaranteed', 'sheltered', 'covered', 'defended', 'shaded', 'immune', 'safe', 'secured', 'preserved', 'fostered']"
guaranteed,"['assured', 'protected', 'endorsed', 'approved', 'confirmed', 'sealed', 'bonded', 'sure', 'secured']"
assured,"['settled', 'sure', 'guaranteed', 'confirmed', 'set', 'secure', 'decided', 'sealed', 'fixed', 'racked', 'ensured']"
settled,"['established', 'ended', 'determined', 'resolved']"
established,"['traditional', 'settled', 'set', 'rooted', 'stable', 'fixed', 'secure', 'permanent']"
set,"['firm', 'bent', 'stated', 'specified', 'rooted', 'established', 'confirmed', 'pat', 'intent', 'appointed', 'regular', 'determined', 'scheduled', 'fixed', 'settled', 'certain', 'usual', 'concluded', 'agreed', 'resolved', 'arranged']"
bent,"['bowed', 'looped', 'rounded', 'hooked', 'twisted', 'round', 'angled']"
bowed,"['curved', 'rounded']"
curved,"['rounded', 'twisted', 'looped', 'sweeping', 'round', 'twisting', 'turned']"
rounded,['bowed']
twisted,"['bent', 'twisting']"
straight,"['short', 'solid', 'smooth', 'consecutive', 'even', 'right', 'vertical', 'level', 'direct', 'running', 'square', 'continuous', 'near', 'sheer', 'through', 'true']"
vertical,"['steep', 'sheer']"
steep,"['sharp', 'sheer', 'high', 'raised', 'lifted']"
sheer,[]
complete,"['entire', 'full', 'gross', 'integrated', 'all', 'intact', 'organic', 'whole']"
all,"['complete', 'entire', 'full', 'gross', 'perfect', 'total', 'greatest']"
total,"['entire', 'full', 'overall', 'sheer', 'comprehensive', 'absolute', 'perfect', 'gross', 'positive', 'sweeping', 'whole', 'every']"
overall,"['comprehensive', 'global', 'sweeping', 'blanket', 'total']"
global,"['international', 'universal', 'overall', 'comprehensive', 'blanket', 'general', 'grand', 'sweeping', 'total', 'world']"
international,"['universal', 'global', 'foreign', 'world']"
universal,"['broad', 'global', 'common', 'comprehensive', 'extensive', 'general', 'regular', 'sweeping', 'total', 'whole', 'accepted', 'all', 'usual', 'widespread']"
common,"['accepted', 'natural', 'simple', 'familiar', 'universal', 'routine', 'prevailing', 'everyday', 'frequent', 'typical', 'plain', 'daily', 'standard', 'current', 'regular', 'characteristic', 'general', 'stock', 'casual', 'conventional', 'informal', 'stereotyped', 'usual']"
accepted,"['established', 'confirmed', 'sanctioned', 'received', 'welcomed', 'universal', 'acknowledged', 'conventional', 'recognized', 'popular', 'preferred', 'endorsed', 'approved', 'authorized', 'chosen', 'current', 'normal', 'regular', 'standard', 'usual', 'credited', 'okayed', 'passed', 'allowed']"
confirmed,"['settled', 'accepted', 'proved', 'worn', 'seasoned', 'fixed', 'chronic', 'staid', 'valid']"
proved,"['tested', 'settled', 'established', 'demonstrated', 'proven']"
tested,"['proved', 'approved', 'loyal', 'reliable', 'safe']"
approved,"['recognized', 'sanctioned', 'supported', 'authorized', 'backed', 'accepted', 'endorsed', 'permitted', 'chosen', 'certain', 'passed', 'allowed', 'proven']"
sanctioned,"['permitted', 'accepted', 'approved', 'licensed', 'confirmed', 'allowed', 'okayed']"
permitted,"['sanctioned', 'acceptable', 'licensed', 'authorized', 'approved', 'okay', 'favored', 'let', 'allowed', 'consented', 'tolerated', 'chartered', 'conceded']"
licensed,"['approved', 'permitted', 'allowed']"
refused,"['forbidden', 'rejected', 'prohibited', 'dismissed', 'banned', 'denied', 'blocked']"
forbidden,"['banned', 'refused', 'closed']"
banned,['illegal']
illegal,"['banned', 'prohibited', 'criminal', 'forbidden', 'violating']"
prohibited,"['restricted', 'banned', 'illegal', 'refused', 'barred']"
restricted,"['controlled', 'closed', 'reduced', 'surrounded', 'bound', 'frustrated', 'prevented', 'modified', 'governed', 'stopped', 'small', 'defined', 'secured', 'barred', 'blocked', 'narrowed', 'checked', 'stayed', 'moderated', 'decreased', 'chained', 'diminished']"
closed,"['locked', 'sealed', 'dark', 'folded']"
locked,"['closed', 'sealed', 'tight']"
sealed,"['fixed', 'closed', 'firm', 'shut', 'tight']"
fixed,"['established', 'locked', 'hooked', 'tight', 'settled', 'firm', 'set', 'secure', 'quiet', 'fast', 'located', 'stable', 'still', 'rooted', 'solid', 'stiff', 'nailed', 'attached']"
hooked,"['absorbed', 'devoted', 'dependent']"
absorbed,"['involved', 'engaged', 'fixed', 'lost', 'held', 'intent', 'consumed']"
engaged,"['hooked', 'committed', 'intended', 'steady', 'bound', 'future', 'contracted', 'pinned', 'ringed']"
committed,"['devoted', 'bound', 'attached']"
devoted,"['dedicated', 'concerned', 'dear', 'loving', 'constant', 'caring', 'true']"
dedicated,"['devoted', 'committed', 'sworn']"
sworn,"['confirmed', 'bound']"
bound,"['firm', 'forced', 'made', 'bent', 'urged', 'required', 'driven', 'intent', 'pressed', 'certain', 'sure', 'contracted', 'compelled']"
forced,"['enforced', 'affected', 'binding', 'bound', 'labored', 'slave', 'artificial', 'stiff', 'wooden', 'compelled', 'false']"
enforced,"['required', 'sanctioned', 'established', 'executed', 'kept', 'pressed', 'charged', 'imposed', 'exacted', 'demanded', 'compelled', 'advocated', 'dictated']"
required,"['enforced', 'appropriate', 'needed', 'recommended', 'vital', 'set', 'right', 'deserved', 'due', 'essential', 'just', 'suitable', 'demanded']"
deserved,"['proper', 'right', 'fit', 'appropriate', 'fitting', 'due', 'just', 'suitable', 'earned', 'justified']"
fit,"['wise', 'capable', 'able', 'prepared', 'qualified', 'happy', 'right', 'becoming', 'due', 'fitting', 'correspondent', 'deserving', 'trained', 'equipped', 'ready', 'meet', 'adapted', 'correct', 'fitted', 'adequate', 'favorable', 'just', 'likely', 'proper']"
becoming,"['welcome', 'fair', 'acceptable', 'attractive', 'beautiful', 'cute', 'effective', 'excellent', 'handsome', 'neat', 'nice', 'pretty', 'enhancing']"
welcome,"['pleasant', 'satisfying', 'pleasing', 'wanted', 'honored', 'good', 'accepted', 'nice', 'acceptable', 'favorable', 'grateful', 'appreciated', 'invited', 'desired', 'contenting']"
pleasing,"['satisfying', 'sweet', 'favorable', 'charming', 'pleasant', 'attractive', 'engaging', 'entertaining', 'good', 'welcome', 'winning', 'musical', 'grateful', 'suitable']"
favorable,"['positive', 'encouraging', 'supportive', 'kind', 'okay', 'understanding', 'welcoming']"
kind,"['gentle', 'friendly', 'loving', 'understanding', 'big', 'mild']"
friendly,"['good', 'helpful', 'familiar', 'loyal', 'favorable', 'peaceful', 'loving', 'welcoming', 'kind', 'tender', 'close', 'thick', 'civil', 'attached']"
familiar,"['simple', 'usual', 'intimate', 'natural', 'plain', 'household', 'domestic', 'routine', 'ordinary', 'native', 'stock', 'conventional', 'everyday', 'frequent', 'informal', 'known', 'repeated']"
usual,"['conventional', 'constant', 'normal', 'familiar', 'natural', 'current', 'regular', 'routine', 'expected', 'everyday', 'frequent', 'prevailing', 'accepted', 'average', 'chronic', 'fixed', 'general', 'mainstream', 'ordinary', 'plain', 'plastic', 'standard', 'stock']"
routine,"['conventional', 'normal', 'regular', 'ordinary', 'everyday', 'usual', 'familiar', 'standard', 'plain', 'general', 'accepted', 'chronic', 'typical']"
ordinary,"['traditional', 'typical', 'natural', 'everyday', 'normal', 'familiar', 'routine', 'general', 'standard', 'public', 'stock', 'established', 'frequent', 'popular', 'prevailing', 'settled', 'usual']"
typical,"['classic', 'normal', 'symbolic', 'regular', 'common', 'natural', 'ordinary', 'average', 'characteristic', 'classical', 'essential', 'everyday', 'expected', 'general', 'ideal', 'model', 'representative', 'standard', 'stock', 'patterned']"
classic,"['simple', 'usual', 'typical', 'representative', 'standard']"
representative,"['classic', 'model', 'classical', 'ideal', 'symbolic']"
model,"['perfect', 'classical', 'classic', 'standard', 'copy', 'representative', 'typical', 'very']"
classical,"['classic', 'academic']"
standard,"['accepted', 'classic', 'normal', 'common', 'basic', 'usual', 'typical', 'set', 'average', 'official', 'general', 'regulation', 'stock', 'established', 'everyday', 'popular', 'prevailing', 'recognized']"
basic,"['necessary', 'primary', 'underlying', 'key', 'main', 'vital', 'essential', 'radical', 'chief', 'principal', 'central', 'capital', 'inherent']"
underlying,"['hidden', 'basic', 'prime', 'bottom', 'root', 'critical', 'crucial', 'elementary', 'essential', 'necessary', 'primary', 'radical', 'vital']"
bottom,"['last', 'radical', 'basement', 'primary', 'underlying', 'base', 'basic', 'ground', 'lowest']"
last,"['curtains', 'end', 'far', 'least', 'ending', 'ultimate', 'concluding', 'closing', 'latest', 'extreme', 'farthest', 'furthest', 'lowest', 'finishing', 'meanest', 'most recent', 'remotest']"
far,"['distant', 'deep', 'long', 'bit', 'piece', 'remote', 'removed', 'ways']"
distant,"['remote', 'far', 'isolated', 'removed', 'abroad', 'abstracted', 'apart', 'away', 'farther', 'further', 'retired', 'secret', 'separate', 'ways']"
isolated,"['unusual', 'lonely', 'remote', 'deserted', 'hidden', 'retired', 'abandoned', 'screened', 'single', 'withdrawn', 'alone', 'apart', 'random', 'special']"
lonely,"['isolated', 'deserted', 'homeless', 'empty', 'abandoned', 'alone', 'apart', 'down', 'left', 'rejected', 'single', 'withdrawn']"
deserted,"['isolated', 'lonely', 'empty', 'bare', 'left']"
empty,"['dry', 'deserted', 'bare', 'blank', 'abandoned', 'lacking', 'exhausted', 'dead', 'desert', 'wanting', 'waste', 'clear']"
dry,"['bare', 'drained', 'exhausted', 'desert', 'baked', 'hard']"
bare,"['naked', 'uncovered', 'exposed', 'stripped', 'peeled']"
naked,"['exposed', 'raw', 'bare', 'natural', 'open', 'stripped', 'uncovered', 'vulnerable', 'bared', 'peeled']"
exposed,"['uncovered', 'discovered', 'naked', 'bare', 'shown', 'open', 'caught', 'stripped', 'exhibited', 'clear', 'apparent', 'evident', 'visible', 'resolved', 'defined', 'solved', 'disclosed', 'peeled', 'bared', 'revealed']"
uncovered,"['discovered', 'bare', 'shown', 'weakened', 'stripped', 'caught', 'naked', 'visible', 'vulnerable', 'solved', 'disclosed', 'revealed']"
discovered,"['invented', 'exposed', 'spotted', 'perceived', 'opened', 'presented', 'shown', 'recognized', 'observed', 'sighted', 'learned', 'famous', 'real', 'well-known', 'detected', 'disclosed', 'identified', 'explored', 'revealed']"
invented,"['assumed', 'imagined', 'made', 'fashioned', 'artificial', 'fantastic', 'romantic', 'created', 'false']"
assumed,"['affected', 'pretended', 'artificial', 'false']"
affected,"['impressed', 'concerned', 'damaged', 'touched', 'troubled', 'overwhelmed', 'injured', 'influenced', 'altered', 'changed', 'upset', 'stimulated', 'tender', 'excited', 'sorry', 'stirred']"
impressed,['affected']
damaged,"['injured', 'gone', 'shot', 'bent', 'hurt', 'down', 'sunk', 'totaled']"
gone,"['retired', 'departed', 'moved', 'spent', 'ended', 'done', 'traveling', 'withdrawn', 'quit', 'removed', 'lacking', 'split', 'vanished', 'missing', 'finished', 'lost', 'transferred', 'left', 'away', 'dead', 'over', 'past', 'passed', 'shifted', 'disappeared', 'flown', 'consumed', 'dissolved']"
retired,"['resigned', 'elderly']"
elderly,"['aging', 'aged', 'old', 'retired', 'ancient', 'tired', 'declining']"
aged,"['elderly', 'gray', 'ancient', 'worn']"
gray,"['stone', 'lead', 'neutral', 'powder', 'iron', 'shaded', 'clouded']"
neutral,"['calm', 'cool', 'clinical', 'collected', 'easy', 'relaxed']"
calm,"['slow', 'smooth', 'mild', 'cool', 'still', 'rural']"
mild,"['delicate', 'peaceful', 'sunny', 'warm', 'weak', 'calm', 'smooth', 'moderate', 'soft', 'cool', 'choice', 'clear', 'easy', 'faint', 'fine', 'flat', 'light', 'medium', 'nothing']"
peaceful,"['steady', 'smooth', 'quiet', 'neutral', 'calm', 'collected', 'composed', 'constant', 'gentle', 'level', 'still']"
collected,"['possessed', 'still', 'cool', 'quiet', 'confident', 'easy', 'peaceful', 'sure', 'together']"
possessed,"['hooked', 'violent', 'consumed']"
violent,"['crazy', 'powerful', 'brutal', 'cruel', 'fierce', 'desperate', 'disturbed', 'great', 'mad', 'raging', 'rough', 'strong', 'wild']"
brutal,"['harsh', 'severe', 'rough', 'hard']"
rough,"['harsh', 'sharp', 'bearded', 'broken', 'wrinkled']"
bearded,[]
broken,"['injured', 'damaged', 'cracked', 'separated', 'burst', 'hurt', 'split', 'rent', 'fragmented', 'collapsed', 'crushed']"
cracked,"['broken', 'damaged', 'split']"
OK,"['pleasing', 'okay', 'fair', 'welcome', 'standard', 'large', 'common', 'moderate', 'average', 'adequate', 'decent', 'pleasant', 'sufficient']"
okay,"['permitted', 'good', 'OK', 'fair', 'approved', 'fine', 'correct', 'accurate', 'adequate', 'surely']"
correct,"['precise', 'perfect', 'strict', 'appropriate', 'legitimate', 'proper', 'stone', 'right', 'okay', 'actual', 'just', 'nice', 'regular', 'true']"
strict,"['tough', 'harsh', 'exacting', 'severe', 'firm', 'forbidding', 'hard', 'set', 'square', 'straight']"
exacting,"['precise', 'harsh', 'strict', 'trying', 'taxing', 'careful', 'critical', 'difficult', 'hard', 'particular', 'severe', 'tough']"
careful,"['precise', 'accurate', 'concerned', 'conservative', 'cool', 'exacting', 'guarded', 'particular', 'protective', 'religious', 'shy', 'solid']"
accurate,"['detailed', 'careful', 'scientific', 'solid', 'exact', 'specific', 'strict', 'proper', 'correct', 'close', 'concrete', 'distinct', 'explicit', 'genuine', 'just', 'particular', 'regular', 'right', 'severe', 'sharp', 'true', 'defined']"
scientific,"['objective', 'experimental', 'accurate', 'clear', 'exact', 'logical', 'precise', 'sound', 'controlled']"
objective,"['cold', 'straight', 'cool', 'judicial', 'just']"
cold,"['frozen', 'raw', 'cool', 'bitter', 'intense', 'cutting', 'sharp', 'chill', 'biting', 'severe', 'chilled', 'blasting']"
frozen,['chilled']
boiled,['tumor']
heated,"['violent', 'fierce', 'bitter', 'intense', 'raging', 'excited', 'mad']"
fierce,"['bold', 'raging', 'dangerous', 'powerful', 'brutal', 'intense', 'angry', 'strong', 'terrible', 'animal', 'awful', 'cruel', 'fell', 'horrible', 'threatening', 'wild', 'flipped']"
raging,"['rough', 'angry', 'wild']"
angry,"['heated', 'bitter', 'cross', 'fierce', 'hot', 'provoked', 'raging', 'storming']"
cross,['short']
provoked,"['angry', 'mad']"
nice,"['kind', 'good', 'fair', 'superior', 'swell', 'welcome', 'winning', 'lovely', 'friendly', 'approved', 'attractive', 'becoming', 'charming', 'favorable', 'gentle', 'helpful', 'inviting', 'pleasant']"
swell,"['exclusive', 'fine', 'grand', 'super', 'smart', 'excellent', 'neat', 'terrific']"
excellent,"['great', 'good', 'outstanding', 'accomplished', 'attractive', 'finest', 'fine', 'distinguished', 'capital', 'champion', 'choice', 'distinctive', 'first', 'high', 'noted', 'premium', 'prime', 'select', 'striking', 'choicest']"
attractive,"['beautiful', 'lovely', 'inviting', 'fair', 'interesting', 'charming', 'pleasant', 'engaging', 'pleasing', 'handsome', 'fascinating', 'magnetic', 'pretty', 'winning', 'taking']"
lovely,"['engaging', 'pleasing', 'sweet', 'pleasant', 'delicate', 'pretty', 'handsome', 'picture', 'fair', 'winning', 'nice', 'attractive', 'rare']"
engaging,"['fascinating', 'interesting', 'inviting', 'pleasant', 'appealing', 'attractive', 'sweet', 'pleasing', 'winning', 'entrancing', 'magnetic']"
inviting,"['welcoming', 'fascinating', 'encouraging', 'charming', 'engaging', 'appealing', 'attractive', 'pleasing', 'warm', 'open', 'winning', 'magnetic']"
welcoming,['accessible']
appealing,"['engaging', 'pleading', 'entrancing', 'present', 'cute', 'nice']"
pleading,['begging']
begging,['anxious']
entrancing,['fascinating']
present,"['current', 'prompt', 'being', 'modern', 'contemporary', 'started', 'begun', 'instant', 'already', 'immediate']"
started,['initiated']
initiated,"['proposed', 'entered', 'inserted', 'admitted', 'sponsored']"
proposed,"['suggested', 'scheduled', 'recommended', 'planned', 'expected', 'intended', 'pressed', 'considered', 'moved', 'urged', 'determined', 'advised', 'advanced', 'arranged', 'contemplated', 'submitted', 'purposed', 'volunteered', 'designed']"
scheduled,"['expected', 'anticipated', 'right', 'deserved', 'fit', 'becoming', 'merited', 'fitting', 'coming', 'fair', 'good', 'just', 'suitable', 'earned', 'justified']"
expected,"['normal', 'conventional', 'familiar']"
coming,"['expected', 'subsequent', 'anticipated', 'instant', 'marked', 'near', 'future', 'preparing', 'deserving', 'pursuing', 'close', 'due', 'certain', 'immediate', 'next', 'progressing', 'docking', 'advancing']"
subsequent,"['following', 'consecutive', 'later', 'next', 'resulting', 'succeeding']"
following,"['subsequent', 'coming', 'consecutive', 'then', 'latter', 'pursuing', 'back', 'specified', 'trailing', 'rear', 'afterward', 'later', 'next', 'when', 'succeeding', 'resulting']"
latter,"['recent', 'last', 'modern', 'second', 'following', 'closing', 'final', 'later']"
recent,"['late', 'new', 'novel', 'latter', 'modern', 'contemporary', 'young', 'fresh']"
novel,"['different', 'unusual', 'strange', 'innovative', 'unique', 'odd', 'contemporary', 'recent', 'fresh', 'rare']"
strange,"['funny', 'unusual', 'rare', 'remarkable', 'fantastic', 'different', 'extraordinary', 'wonderful', 'new', 'curious', 'weird', 'odd', 'off']"
funny,"['ridiculous', 'silly', 'entertaining', 'riot', 'gay', 'rich', 'joking', 'screaming']"
entertaining,"['fascinating', 'funny', 'inspiring', 'interesting', 'absorbing', 'compelling', 'affecting', 'charming', 'pleasant', 'moving', 'exciting', 'engaging', 'impressive', 'fun', 'stimulating', 'riot', 'striking', 'cheering', 'entrancing', 'scream', 'stirring', 'gay', 'relaxing']"
inspiring,"['encouraging', 'moving', 'exciting', 'stirring', 'stimulating', 'motivating']"
moving,"['inspiring', 'gripping', 'meaningful', 'touching', 'emotional', 'stirring', 'provoking', 'stimulating', 'dynamic', 'impressive', 'significant', 'motivating', 'rallying']"
meaningful,"['relevant', 'useful', 'valid', 'substantial', 'serious', 'essential', 'important', 'big', 'clear', 'considerable', 'deep', 'exact', 'explicit', 'heavy', 'material', 'pointed', 'pregnant']"
valid,"['good', 'solid', 'accurate', 'binding', 'legal', 'logical', 'compelling', 'legitimate', 'original', 'confirmed', 'convincing', 'efficient', 'just', 'official', 'powerful', 'pure', 'sound', 'strong', 'substantial', 'telling', 'tested', 'ultimate', 'true', 'proven']"
binding,"['required', 'essential']"
tied,"['fixed', 'bound', 'secured']"
unlike,"['conflicting', 'distant', 'distinct', 'diverse', 'hostile', 'opposed', 'opposite', 'separate', 'various', 'weird', 'contrasted']"
diverse,"['varied', 'distinct', 'contrasting', 'distant', 'opposite', 'separate', 'several', 'unlike', 'varying', 'differing', 'contrasted']"
varied,"['mixed', 'diverse', 'various', 'separate']"
various,"['different', 'varied', 'separate', 'distinct', 'diverse', 'individual', 'numerous', 'changing', 'distinctive', 'many', 'several', 'unlike']"
individual,"['personal', 'sole', 'specific', 'single', 'separate', 'particular', 'original', 'special', 'express', 'characteristic', 'alone', 'different', 'distinct', 'odd', 'only', 'own', 'proper', 'reserved', 'select', 'several', 'unique', 'unusual']"
personal,"['secret', 'intimate', 'special', 'particular', 'exclusive', 'own', 'retired', 'claimed']"
secret,"['classified', 'private', 'mysterious', 'unknown', 'closet', 'deep', 'dark', 'close', 'covered', 'retired', 'strange', 'clouded']"
classified,"['restricted', 'secret', 'private']"
private,"['independent', 'separate', 'secret', 'individual', 'exclusive', 'special', 'inside', 'closet', 'particular', 'own', 'reserved']"
special,"['limited', 'major', 'exclusive', 'certain', 'primary', 'appropriate', 'individual', 'proper', 'different', 'personal', 'main', 'unusual', 'extraordinary', 'significant', 'particular', 'unique', 'rare', 'specific', 'specialized', 'set', 'characteristic', 'express', 'choice', 'chief', 'sole', 'best', 'first', 'marked', 'reserved', 'restricted', 'select', 'defined']"
extraordinary,"['fantastic', 'remarkable', 'outstanding', 'curious', 'odd', 'special', 'unusual', 'incredible', 'terrific', 'amazing', 'strange', 'unprecedented', 'particular', 'unique', 'rare', 'surprising', 'weird']"
unprecedented,"['unusual', 'remarkable', 'fantastic', 'extraordinary', 'new', 'unique', 'exotic', 'modern', 'novel', 'odd', 'signal']"
unique,"['exclusive', 'different', 'rare', 'particular', 'individual', 'one', 'only', 'separate', 'single', 'onliest']"
one,"['sole', 'separate', 'specific', 'single', 'particular', 'special', 'alone', 'different', 'odd', 'only', 'precise', 'unique']"
single,"['separate', 'simple', 'sole', 'private', 'specific', 'personal', 'individual', 'particular', 'original', 'special', 'separated', 'exclusive', 'restricted', 'isolated', 'one', 'distinguished', 'odd', 'only', 'rare', 'strange', 'unique', 'unusual']"
separated,"['distinct', 'distant', 'removed', 'abstracted', 'distributed', 'scattered', 'marked', 'apart', 'divorced', 'parted']"
removed,"['withdrawn', 'eliminated']"
withdrawn,"['retired', 'retiring', 'shy', 'quiet', 'reserved', 'shrinking', 'cool', 'casual', 'distant', 'remote', 'silent', 'retreated']"
retiring,"['reserved', 'quiet', 'withdrawn', 'shrinking', 'modest', 'withdrawing']"
shrinking,"['retiring', 'modest', 'declining']"
withdrawing,"['quit', 'depart', 'retire', 'leave', 'eliminate', 'go', 'retreat', 'blow', 'switch', 'book', 'exit', 'shrink']"
meet,"['right', 'fair', 'fit', 'appropriate', 'good', 'happy', 'just', 'proper', 'suitable', 'accommodated']"
just,"['decent', 'due', 'equal', 'ethical', 'good', 'honest', 'objective', 'pure', 'reliable', 'right', 'strict', 'tried', 'true']"
due,"['scheduled', 'owed', 'outstanding', 'expected']"
owed,"['expected', 'scheduled', 'owing', 'outstanding']"
owing,"['owed', 'due', 'outstanding']"
young,"['new', 'raw', 'adolescent', 'modern', 'infant', 'growing', 'tender', 'little', 'junior', 'recent', 'early', 'fresh', 'developing']"
adolescent,"['teen', 'growing', 'young', 'teenage']"
growing,"['spreading', 'thriving', 'living', 'swelling', 'developing', 'expanding', 'stretching', 'mushrooming']"
spreading,"['growing', 'extensive']"
thriving,"['booming', 'healthy', 'wealthy', 'growing', 'rolling', 'rich', 'developing', 'progressing', 'arrived', 'advancing']"
booming,"['growing', 'thriving', 'successful']"
successful,"['outstanding', 'lucky', 'rewarding', 'wealthy', 'strong', 'happy', 'acknowledged', 'champion', 'extraordinary', 'rolling', 'thriving', 'top', 'booming', 'paying']"
lucky,"['successful', 'happy', 'blessed', 'charmed', 'favored', 'golden', 'promising', 'well']"
blessed,"['rewarded', 'divine', 'saved', 'holy', 'sacred', 'spiritual']"
rewarded,['satisfied']
saved,"['released', 'freed', 'guarded', 'secure', 'defended', 'protected', 'safe', 'rescued', 'cured', 'maintained', 'preserved', 'healed']"
released,['free']
issued,"['delivered', 'distributed', 'broadcast', 'spread', 'published', 'announced', 'expressed']"
delivered,"['forwarded', 'transported', 'shipped', 'mailed', 'sent', 'trucked', 'expressed', 'conveyed', 'deposited']"
forwarded,"['delivered', 'expressed']"
transported,"['carried', 'transferred', 'shifted', 'conveyed']"
carried,"['borne', 'drifting']"
borne,"['produced', 'narrow', 'tolerated', 'rode', 'braved', 'endured']"
produced,"['composed', 'made', 'formed']"
made,"['built', 'finished', 'invented', 'shaped', 'formed']"
built,"['made', 'completed', 'produced', 'finished', 'created', 'assembled', 'constructed']"
completed,"['ended', 'finished', 'done', 'built', 'concluded']"
ended,"['finished', 'completed', 'complete', 'concluded']"
done,"['executed', 'exhausted', 'down', 'ended', 'set', 'wrought', 'drained', 'perfected', 'complete', 'completed', 'rendered', 'realized', 'spent', 'fixed', 'over', 'through', 'concluded', 'performed', 'effected', 'succeeded']"
executed,"['accomplished', 'completed', 'done', 'finished']"
hanged,"['pin', 'drift', 'float', 'cover', 'lean', 'wave', 'bend', 'attach', 'remain', 'decorate', 'swing', 'hold', 'stick', 'deck', 'rest', 'nail', 'depend', 'fix', 'cling', 'trail', 'lower', 'drop', 'bow', 'project']"
lean,"['poor', 'worn', 'spare', 'stick', 'wasted']"
worn,"['gone', 'shot', 'tired', 'exhausted', 'drained', 'destroyed', 'drawn', 'beat', 'fatigued', 'spent', 'ruined', 'old', 'totaled', 'consumed']"
tired,"['drained', 'fatigued', 'bored', 'faint', 'spent', 'worn', 'finished', 'wasted', 'flagging', 'empty', 'asleep', 'consumed', 'collapsing']"
fatigued,"['exhausted', 'worn', 'dropping']"
fresh,"['different', 'unusual', 'late', 'raw', 'natural', 'original', 'recent', 'beginning', 'contemporary', 'current', 'latest', 'modern', 'novel', 'now', 'radical', 'young']"
latest,"['current', 'last']"
old-fashioned,"['old', 'ancient', 'dated', 'past']"
old,"['gray', 'ancient', 'tired', 'elderly', 'aged', 'senior', 'veteran', 'exhausted', 'experienced', 'seasoned', 'skilled']"
ancient,"['old-fashioned', 'elderly', 'aged', 'remote', 'early', 'older']"
early,"['previous', 'fresh', 'initial', 'new', 'recent', 'ancient', 'original', 'prime', 'prior', 'raw', 'young']"
previous,"['past', 'earlier', 'sometime']"
past,"['prior', 'completed', 'spent', 'former', 'previous', 'over', 'accomplished', 'ago', 'ended', 'finished', 'forgotten', 'gone']"
prior,"['previous', 'former', 'past', 'forward', 'ahead', 'before']"
former,"['old', 'departed', 'ancient', 'past', 'prior', 'above', 'first', 'earlier', 'late', 'once', 'sometime']"
departed,"['gone', 'buried', 'stiff', 'late']"
first,"['early', 'prime', 'head', 'fundamental', 'opening', 'leading', 'initial', 'primary', 'least', 'pioneer', 'key', 'basic', 'front', 'beginning', 'original', 'ahead', 'elementary', 'smallest', 'slightest']"
least,"['last', 'bottom', 'second', 'minimum', 'minute', 'first', 'lowest', 'minimal', 'fewest', 'meanest', 'minutest', 'poorest', 'tiniest']"
minimum,"['minimal', 'littlest', 'smallest', 'merest', 'slightest', 'tiniest']"
minimal,"['essential', 'minimum', 'basic', 'fundamental', 'least', 'lowest', 'smallest']"
lowest,"['minimum', 'base', 'bottom', 'ground', 'last', 'least', 'littlest', 'smallest', 'slightest']"
base,"['poor', 'offensive', 'common', 'mean', 'cheap', 'sorry', 'ugly']"
mean,"['close', 'tight']"
evil,"['ugly', 'bad', 'offensive', 'wrong', 'base', 'low', 'angry']"
wrong,"['mistaken', 'bad', 'out', 'wide', 'false']"
mistaken,"['confused', 'fooled', 'false', 'tricked']"
fooled,[]
false,"['mistaken', 'lying']"
lying,"['wrong', 'inventing', 'false']"
inventing,"['fashion', 'envision', 'conceive', 'discover', 'bear', 'initiate', 'produce', 'design', 'find', 'execute', 'compose', 'form', 'author', 'make', 'project', 'plan', 'imagine', 'coin', 'frame', 'improve']"
hurt,"['shot', 'tender', 'damaged', 'cut', 'burned', 'hit', 'harmed', 'pained', 'suffering', 'struck', 'disturbed', 'wounded', 'sad', 'stricken', 'unhappy', 'scratched', 'crushed', 'shook']"
burned,"['burnt', 'branded']"
burnt,[]
harmed,"['injured', 'wounded', 'hurt']"
struck,"['hurt', 'pounded']"
sad,"['bitter', 'sorry', 'down', 'low', 'troubled', 'hurting']"
sorry,"['touched', 'melted', 'softened']"
touched,"['impressed', 'disturbed', 'affected', 'melted', 'upset', 'stirred', 'grabbed', 'softened']"
melted,"['vanished', 'molten', 'blended', 'diminished', 'decreased']"
vanished,"['faded', 'gone']"
faded,"['worn', 'tired', 'wasted', 'pale']"
wasted,"['lean', 'thin']"
drunk,"['lit', 'totaled']"
lit,"['burning', 'shining', 'bright', 'brilliant', 'lighted']"
burning,"['flaming', 'hot', 'heated']"
flaming,"['raging', 'red', 'brilliant']"
intense,"['great', 'excessive', 'extraordinary', 'powerful', 'profound', 'deep', 'violent', 'harsh', 'fierce', 'sharp', 'strong', 'bitter', 'extreme', 'biting', 'burning', 'close', 'concentrated', 'consuming', 'cutting', 'eager', 'full', 'hard', 'marked', 'strained']"
