contented,"['satisfied', 'pleased', 'glad', 'content', 'comfortable']","['upset', 'sad', 'unhappy', 'disturbed']"
unique,"['exclusive', 'different', 'rare', 'particular', 'individual', 'one', 'only', 'separate', 'single', 'onliest']","['usual', 'like', 'similar', 'standard', 'normal', 'common', 'regular', 'ordinary']"
one,"['sole', 'separate', 'specific', 'single', 'particular', 'special', 'alone', 'different', 'odd', 'only', 'precise', 'unique']","['combined', 'together', 'mixed', 'united', 'usual', 'normal', 'ordinary', 'general', 'common', 'none']"
single,"['separate', 'simple', 'sole', 'private', 'specific', 'personal', 'individual', 'particular', 'original', 'special', 'separated', 'exclusive', 'restricted', 'isolated', 'one', 'distinguished', 'odd', 'only', 'rare', 'strange', 'unique', 'unusual']","['together', 'usual', 'combined', 'double', 'mixed', 'united', 'married', 'public', 'general', 'common', 'ordinary', 'attached']"
separated,"['distinct', 'distant', 'removed', 'abstracted', 'distributed', 'scattered', 'marked', 'apart', 'divorced', 'parted']","['connected', 'together', 'united', 'attached', 'whole']"
removed,"['withdrawn', 'eliminated']","['established', 'ignored', 'left']"
withdrawn,"['retired', 'retiring', 'shy', 'quiet', 'reserved', 'shrinking', 'cool', 'casual', 'distant', 'remote', 'silent', 'retreated']","['confident', 'friendly', 'known', 'visible', 'bold', 'seen']"
retiring,"['reserved', 'quiet', 'withdrawn', 'shrinking', 'modest', 'withdrawing']","['friendly', 'bold']"
shrinking,"['retiring', 'modest', 'declining']",['bold']
withdrawing,"['quit', 'depart', 'retire', 'leave', 'eliminate', 'go', 'retreat', 'blow', 'switch', 'book', 'exit', 'shrink']","['combine', 'unite', 'remain', 'permit', 'come', 'stay', 'continue', 'enter', 'begin', 'join', 'engage', 'keep', 'arrive', 'face', 'meet', 'advance', 'allow']"
meet,"['right', 'fair', 'fit', 'appropriate', 'good', 'happy', 'just', 'proper', 'suitable', 'accommodated']",['unfair']
just,"['decent', 'due', 'equal', 'ethical', 'good', 'honest', 'objective', 'pure', 'reliable', 'right', 'strict', 'tried', 'true']","['unfair', 'partial', 'wrong']"
due,"['scheduled', 'owed', 'outstanding', 'expected']","['settled', 'paid']"
owed,"['expected', 'scheduled', 'owing', 'outstanding']","['settled', 'paid']"
owing,"['owed', 'due', 'outstanding']","['young', 'settled', 'green', 'paid', 'resolved']"
young,"['new', 'raw', 'adolescent', 'modern', 'infant', 'growing', 'tender', 'little', 'junior', 'recent', 'early', 'fresh', 'developing']","['experienced', 'healthy', 'adult', 'older', 'old', 'sophisticated']"
adolescent,"['teen', 'growing', 'young', 'teenage']","['adult', 'infant']"
growing,"['spreading', 'thriving', 'living', 'swelling', 'developing', 'expanding', 'stretching', 'mushrooming']","['failing', 'dying', 'shrinking', 'dead']"
spreading,"['growing', 'extensive']",[]
thriving,"['booming', 'healthy', 'wealthy', 'growing', 'rolling', 'rich', 'developing', 'progressing', 'arrived', 'advancing']","['failing', 'poor', 'declining', 'losing']"
booming,"['growing', 'thriving', 'successful']","['failing', 'losing']"
successful,"['outstanding', 'lucky', 'rewarding', 'wealthy', 'strong', 'happy', 'acknowledged', 'champion', 'extraordinary', 'rolling', 'thriving', 'top', 'booming', 'paying']","['poor', 'bad', 'sad', 'unhappy', 'losing']"
lucky,"['successful', 'happy', 'blessed', 'charmed', 'favored', 'golden', 'promising', 'well']",['bad']
blessed,"['rewarded', 'divine', 'saved', 'holy', 'sacred', 'spiritual']","['condemned', 'damned', 'unhappy']"
saved,"['released', 'freed', 'guarded', 'secure', 'defended', 'protected', 'safe', 'rescued', 'cured', 'maintained', 'preserved', 'healed']","['spent', 'ruined', 'wasted']"
built,"['made', 'completed', 'produced', 'finished', 'created', 'assembled', 'constructed']","['flat', 'weak']"
done,"['executed', 'exhausted', 'down', 'ended', 'set', 'wrought', 'drained', 'perfected', 'complete', 'completed', 'rendered', 'realized', 'spent', 'fixed', 'over', 'through', 'concluded', 'performed', 'effected', 'succeeded']","['saved', 'rare', 'raw', 'denied']"
executed,"['accomplished', 'completed', 'done', 'finished']",[]
hanged,"['pin', 'drift', 'float', 'cover', 'lean', 'wave', 'bend', 'attach', 'remain', 'decorate', 'swing', 'hold', 'stick', 'deck', 'rest', 'nail', 'depend', 'fix', 'cling', 'trail', 'lower', 'drop', 'bow', 'project']","['straighten', 'release', 'abandon', 'forget', 'remove', 'do', 'separate', 'rise']"
lean,"['poor', 'worn', 'spare', 'stick', 'wasted']","['fat', 'thick', 'heavy', 'strong', 'fresh']"
worn,"['gone', 'shot', 'tired', 'exhausted', 'drained', 'destroyed', 'drawn', 'beat', 'fatigued', 'spent', 'ruined', 'old', 'totaled', 'consumed']","['current', 'rested', 'restored', 'intact', 'protected', 'fresh', 'new', 'saved']"
tired,"['drained', 'fatigued', 'bored', 'faint', 'spent', 'worn', 'finished', 'wasted', 'flagging', 'empty', 'asleep', 'consumed', 'collapsing']","['rested', 'fresh', 'saved', 'active']"
fatigued,"['exhausted', 'worn', 'dropping']",['fresh']
fresh,"['different', 'unusual', 'late', 'raw', 'natural', 'original', 'recent', 'beginning', 'contemporary', 'current', 'latest', 'modern', 'novel', 'now', 'radical', 'young']","['standard', 'old-fashioned', 'experienced', 'tired', 'used', 'worn', 'kind', 'normal', 'warm', 'old', 'exhausted', 'gentle']"
old-fashioned,"['old', 'ancient', 'dated', 'past']","['modern', 'current', 'young', 'new', 'recent', 'fresh', 'present', 'contemporary']"
old,"['gray', 'ancient', 'tired', 'elderly', 'aged', 'senior', 'veteran', 'exhausted', 'experienced', 'seasoned', 'skilled']","['young', 'current', 'modern', 'new', 'green', 'fresh', 'contemporary', 'late', 'recent']"
ancient,"['old-fashioned', 'elderly', 'aged', 'remote', 'early', 'older']","['modern', 'current', 'young', 'new', 'fresh']"
early,"['previous', 'fresh', 'initial', 'new', 'recent', 'ancient', 'original', 'prime', 'prior', 'raw', 'young']","['future', 'worn', 'later', 'old', 'late']"
previous,"['past', 'earlier', 'sometime']","['current', 'future', 'later', 'present']"
past,"['prior', 'completed', 'spent', 'former', 'previous', 'over', 'accomplished', 'ago', 'ended', 'finished', 'forgotten', 'gone']","['after', 'later', 'current', 'future', 'present']"
prior,"['previous', 'former', 'past', 'forward', 'ahead', 'before']","['later', 'subsequent', 'after', 'following', 'current', 'future', 'present']"
former,"['old', 'departed', 'ancient', 'past', 'prior', 'above', 'first', 'earlier', 'late', 'once', 'sometime']","['after', 'modern', 'current', 'following', 'future', 'subsequent', 'new', 'present', 'succeeding']"
first,"['early', 'prime', 'head', 'fundamental', 'opening', 'leading', 'initial', 'primary', 'least', 'pioneer', 'key', 'basic', 'front', 'beginning', 'original', 'ahead', 'elementary', 'smallest', 'slightest']","['following', 'minor', 'additional', 'extra', 'last', 'least', 'secondary', 'final', 'ending']"
least,"['last', 'bottom', 'second', 'minimum', 'minute', 'first', 'lowest', 'minimal', 'fewest', 'meanest', 'minutest', 'poorest', 'tiniest']","['huge', 'large', 'most', 'big', 'substantial']"
minimum,"['minimal', 'littlest', 'smallest', 'merest', 'slightest', 'tiniest']","['largest', 'maximum', 'most']"
minimal,"['essential', 'minimum', 'basic', 'fundamental', 'least', 'lowest', 'smallest']","['maximum', 'most', 'secondary']"
base,"['poor', 'offensive', 'common', 'mean', 'cheap', 'sorry', 'ugly']","['wealthy', 'kind', 'pleasing', 'moral', 'honest', 'rich', 'superior', 'good', 'nice', 'clean', 'pure', 'just', 'high']"
mean,"['close', 'tight']","['kind', 'generous', 'nice', 'extreme']"
evil,"['ugly', 'bad', 'offensive', 'wrong', 'base', 'low', 'angry']","['pleasant', 'pleasing', 'wonderful', 'assisting', 'helpful', 'friendly', 'kind', 'lovely', 'attractive', 'beautiful', 'honest', 'moral', 'good', 'aiding', 'nice', 'gentle', 'right', 'decent']"
wrong,"['mistaken', 'bad', 'out', 'wide', 'false']","['honest', 'valid', 'OK', 'moral', 'acceptable', 'appropriate', 'suitable', 'true', 'accurate', 'correct', 'precise', 'right', 'just', 'sound', 'good', 'decent']"
mistaken,"['confused', 'fooled', 'false', 'tricked']","['valid', 'honest', 'correct', 'right', 'true', 'accurate', 'exact', 'fair', 'just', 'precise', 'sound']"
fooled,[],['clear']
false,"['mistaken', 'lying']","['real', 'honest', 'moral', 'valid', 'known', 'reliable', 'genuine', 'true', 'correct', 'fair', 'right', 'sound', 'open', 'proven', 'accurate', 'actual', 'precise', 'just', 'straight']"
lying,"['wrong', 'inventing', 'false']","['honest', 'direct']"
inventing,"['fashion', 'envision', 'conceive', 'discover', 'bear', 'initiate', 'produce', 'design', 'find', 'execute', 'compose', 'form', 'author', 'make', 'project', 'plan', 'imagine', 'coin', 'frame', 'improve']","['destroy', 'result', 'ignore', 'ruin', 'end', 'finish', 'lose', 'miss', 'fail', 'forget', 'hurt', 'stop', 'steal']"
hurt,"['shot', 'tender', 'damaged', 'cut', 'burned', 'hit', 'harmed', 'pained', 'suffering', 'struck', 'disturbed', 'wounded', 'sad', 'stricken', 'unhappy', 'scratched', 'crushed', 'shook']","['healthy', 'OK', 'pleased', 'perfect', 'happy', 'comforted', 'cured', 'healed', 'well']"
sad,"['bitter', 'sorry', 'down', 'low', 'troubled', 'hurting']","['pleasant', 'glad', 'lucky', 'happy', 'nice', 'good', 'great']"
sorry,"['touched', 'melted', 'softened']","['glad', 'happy', 'good', 'nice']"
touched,"['impressed', 'disturbed', 'affected', 'melted', 'upset', 'stirred', 'grabbed', 'softened']","['OK', 'well']"
faded,"['worn', 'tired', 'wasted', 'pale']","['intelligent', 'fresh', 'good', 'nice', 'new', 'bright', 'clear', 'light', 'smart', 'colorful', 'active', 'colored', 'strengthened']"
wasted,"['lean', 'thin']","['fat', 'full']"
drunk,"['lit', 'totaled']",['straight']
burning,"['flaming', 'hot', 'heated']","['cold', 'cool']"
flaming,"['raging', 'red', 'brilliant']","['pleased', 'happy']"
intense,"['great', 'excessive', 'extraordinary', 'powerful', 'profound', 'deep', 'violent', 'harsh', 'fierce', 'sharp', 'strong', 'bitter', 'extreme', 'biting', 'burning', 'close', 'concentrated', 'consuming', 'cutting', 'eager', 'full', 'hard', 'marked', 'strained']","['stupid', 'pale', 'peaceful', 'kind', 'slow', 'weak', 'moderate', 'shallow', 'mild', 'soft', 'gentle', 'calm', 'nice', 'low']"
concentrated,"['fixed', 'rich', 'complete', 'stuffed', 'total', 'entire', 'straight', 'strong', 'thick', 'whole', 'crashed']","['weak', 'loose', 'thin', 'free']"
stuffed,"['loaded', 'filled', 'packed', 'full', 'bursting', 'crowded', 'satisfied', 'tight']",['empty']
loaded,"['burdened', 'full']",['empty']
burdened,"['loaded', 'taxed']",[]
taxed,['assessed'],['fresh']
strained,"['stiff', 'tight', 'labored', 'embarrassed', 'put', 'artificial', 'difficult', 'uncomfortable', 'false']","['comfortable', 'easy', 'calm', 'loose', 'relaxed', 'genuine']"
labored,"['strained', 'forced', 'studied', 'affected', 'hard', 'heavy', 'stiff']","['easy', 'natural', 'relaxed']"
studied,"['considered', 'calculated', 'prepared', 'planned', 'investigated', 'affected', 'examined', 'reviewed', 'willing', 'advised', 'conscious', 'voluntary', 'designed', 'plotted']",['natural']
considered,"['studied', 'investigated', 'express', 'examined', 'advised', 'voluntary', 'treated', 'contemplated', 'weighed', 'designed']",['forgotten']
investigated,"['tried', 'studied', 'tested', 'reviewed', 'considered', 'measured', 'checked', 'explored', 'questioned', 'searched', 'researched']",[]
tried,"['tested', 'proved', 'approved', 'used', 'secure', 'constant', 'demonstrated']",[]
secure,"['protected', 'guarded', 'sheltered', 'defended', 'immune']","['uncertain', 'loose', 'moving']"
sheltered,"['protected', 'covered', 'screened', 'protective']",['exposed']
screened,"['closet', 'retired', 'abandoned', 'reserved', 'isolate', 'quiet', 'deserted', 'shy', 'close', 'hidden', 'removed', 'withdrawn', 'alone', 'lonely', 'personal', 'private', 'remote', 'secret']","['friendly', 'open', 'seen']"
abandoned,"['forgotten', 'rejected', 'deserted', 'dropped', 'empty', 'left', 'alone', 'dumped', 'eliminated']","['defended', 'moral', 'adopted', 'maintained', 'supported', 'innocent', 'pure']"
forgotten,"['gone', 'abandoned', 'lost', 'buried', 'past']","['existing', 'remembered', 'recalled']"
lost,"['invisible', 'vanished', 'hidden', 'gone', 'missed', 'lacking', 'wandering', 'without', 'disappeared']","['successful', 'winning', 'existing', 'living', 'aware', 'seen', 'accomplishing', 'found', 'alive']"
invisible,"['ideal', 'masked', 'screened']","['obvious', 'visible', 'seen']"
masked,[],[]
obvious,"['accessible', 'evident', 'clear', 'visible', 'distinct', 'bright', 'explicit', 'exposed', 'open', 'patent', 'plain', 'precise', 'prominent', 'public']","['vague', 'invisible', 'hidden', 'uncertain', 'unknown', 'secret', 'dark']"
evident,"['visible', 'obvious', 'distinct', 'fact', 'logical', 'patent', 'plain', 'reasonable']","['uncertain', 'vague', 'hidden', 'unknown', 'secret']"
visible,"['evident', 'striking', 'clear', 'obvious', 'arresting', 'bold', 'marked', 'open', 'outstanding', 'patent', 'plain', 'pointed', 'signal', 'visual', 'revealed', 'seen']","['hidden', 'uncertain', 'unknown', 'vague', 'invisible', 'secret']"
signal,"['striking', 'characteristic', 'marked', 'arresting', 'individual', 'distinguished', 'distinctive', 'famous', 'prominent', 'remarkable', 'significant']","['vague', 'ordinary', 'common']"
characteristic,"['distinctive', 'unique', 'exclusive', 'individual', 'normal', 'personal', 'private', 'essential', 'specific', 'regular', 'representative', 'particular', 'local', 'original', 'special', 'native', 'appropriate', 'distinguishing', 'fixed', 'inherent', 'marked', 'proper', 'symbolic']","['usual', 'similar', 'standard', 'unusual', 'ordinary', 'common', 'general', 'public', 'foreign']"
distinctive,"['extraordinary', 'special', 'weird', 'original', 'cool', 'characteristic', 'distinguishing', 'excellent', 'individual', 'outstanding', 'perfect', 'proper', 'separate', 'single', 'superior', 'typical']","['usual', 'resembling', 'similar', 'standard', 'normal', 'ordinary', 'regular', 'common', 'same']"
weird,"['mysterious', 'strange', 'awful', 'curious', 'secret']","['usual', 'boring', 'pleasant', 'pleasing', 'standard', 'real', 'known', 'common', 'familiar', 'normal', 'ordinary', 'natural', 'good', 'plain', 'regular', 'genuine']"
known,"['established', 'familiar', 'acknowledged', 'recognized', 'well-known', 'obvious', 'common', 'accepted', 'noted', 'received', 'patent', 'plain', 'celebrated', 'published', 'conscious', 'admitted', 'confessed']","['unknown', 'hidden', 'vague']"
authorized,"['sanctioned', 'recognized', 'licensed', 'legitimate', 'legal', 'official', 'commissioned']",['illegal']
legitimate,"['real', 'genuine', 'fair', 'normal', 'certain', 'consistent', 'natural', 'logical', 'appropriate', 'reasonable', 'proper', 'correct', 'reliable', 'sound', 'recognized', 'sanctioned', 'received', 'acknowledged', 'authorized', 'accepted', 'innocent', 'just', 'official', 'regular', 'sure', 'typical', 'usual', 'true']","['illegal', 'false', 'affected']"
sound,"['solid', 'safe', 'stable', 'intact', 'firm', 'entire', 'right', 'fit', 'well', 'perfect', 'total', 'whole', 'substantial', 'vital']","['vulnerable', 'damaged', 'refused', 'rejected', 'weak', 'soft', 'broken', 'part', 'wrong', 'sick', 'partial']"
stable,"['secure', 'solid', 'safe', 'steady', 'fast', 'permanent', 'calm', 'balanced', 'strong', 'substantial', 'reliable', 'even', 'established', 'set', 'tough', 'uniform', 'firm', 'enduring', 'sound', 'sure', 'together', 'nailed']","['vulnerable', 'temporary', 'changing', 'loose', 'soft', 'broken', 'weak', 'different', 'flexible']"
permanent,"['enduring', 'stable', 'set', 'fixed', 'forever']","['temporary', 'changing']"
temporary,"['limited', 'brief', 'short', 'supply', 'summary', 'acting', 'passing', 'shifting']","['enduring', 'permanent', 'long']"
summary,"['short', 'brief']","['large', 'long']"
acting,"['temporary', 'deputy', 'assistant']",['permanent']
passing,"['short', 'temporary', 'slight', 'shallow', 'quick', 'glancing']","['large', 'enduring', 'permanent', 'long', 'tall', 'thick']"
shallow,"['flat', 'empty', 'shelf', 'slight', 'surface']","['aware', 'considered', 'intelligent', 'raised', 'full', 'important', 'significant', 'deep']"
flat,"['low', 'empty', 'even', 'plane', 'depressed', 'extended', 'fallen', 'collapsed']","['rounded', 'rough', 'broken', 'raised', 'sharp']"
plane,"['even', 'flat', 'plain', 'smooth', 'uniform', 'regular']","['extraordinary', 'changing', 'vertical', 'broken', 'different', 'rough']"
uniform,"['reliable', 'even', 'ordered', 'level', 'smooth', 'straight', 'steady', 'regular', 'normal', 'stable', 'constant', 'fixed', 'true']","['unfair', 'changing', 'variable', 'varying', 'unusual', 'varied', 'unlike', 'flexible', 'yielding', 'soft', 'broken', 'different', 'rough']"
neat,"['precise', 'accurate', 'elegant', 'smart', 'correct', 'exact', 'nice', 'proper', 'regular', 'trim']","['stupid', 'false', 'dirty', 'rough']"
trim,"['fit', 'clean', 'smart', 'nice']","['stupid', 'dirty', 'rough', 'fat']"
clean,"['simple', 'clear', 'bright', 'elegant', 'neat', 'pure', 'blank', 'fresh', 'trim', 'white', 'shining', 'delicate', 'washed']","['complicated', 'aware', 'uncertain', 'dirty', 'soiled', 'dark']"
blank,"['bare', 'plain', 'clean', 'white', 'pale', 'empty', 'fresh', 'new']","['filled', 'aware', 'excited', 'understanding', 'full', 'dirty', 'occupied']"
white,"['silver', 'fair', 'neutral', 'light', 'clear']","['biased', 'strong', 'partial', 'dark', 'black', 'dirty']"
silver,"['white', 'bright', 'pale', 'plated']","['black', 'dark']"
pale,"['gray', 'poor', 'faint', 'thin', 'sick', 'faded', 'white', 'weak']","['healthy', 'intelligent', 'strong', 'happy', 'bright', 'clear', 'distinct', 'light', 'smart', 'colored', 'heavy', 'dark', 'colorful']"
sick,"['disordered', 'down', 'suffering', 'peaked', 'ill', 'mean', 'delicate', 'weak', 'declining']","['healthy', 'moral', 'content', 'pleased', 'satisfied', 'well', 'sound', 'strong', 'perfect', 'clean', 'gentle', 'nice', 'happy']"
disordered,"['moved', 'confused', 'removed', 'shifted', 'tossed']","['organized', 'ordered', 'connected', 'clear', 'neat', 'arranged', 'trim']"
moved,"['carried', 'changed', 'transferred', 'driven', 'replaced', 'sent', 'lifted', 'shifted', 'trucked', 'flown', 'pushed', 'conveyed', 'hauled', 'lowered', 'dragged']","['kept', 'remaining', 'resident']"
transferred,"['transported', 'shipped', 'removed', 'sent', 'shifted', 'conveyed', 'transmitted']","['fixed', 'stationed']"
trucked,"['traffic', 'exchange', 'communication', 'trade', 'connection', 'contact', 'business', 'stock', 'relations', 'commodities']","['deny', 'refuse', 'hold', 'keep']"
stock,"['established', 'set', 'basic', 'standard', 'stereotyped', 'regular', 'common', 'normal', 'routine', 'ordinary', 'formal', 'conventional', 'traditional', 'typical', 'usual']","['extra', 'unusual', 'extraordinary', 'secondary', 'different', 'rare', 'original']"
stereotyped,"['stock', 'ordinary']","['unlike', 'active', 'fresh', 'different']"
active,"['operating', 'alive', 'effective', 'rapid', 'progressive', 'working', 'mobile', 'pushing', 'running', 'going', 'traveling', 'flowing', 'rolling', 'functioning', 'rushing', 'moving', 'walking', 'turning', 'streaming', 'shifting', 'speeding']","['fixed', 'quiet']"
progressive,"['revolutionary', 'continuous', 'radical', 'modern', 'dynamic', 'broad', 'advanced', 'continuing', 'graduated', 'increasing', 'ongoing', 'wide', 'developing', 'accelerating', 'advancing']","['conservative', 'moderate']"
revolutionary,"['radical', 'rebel', 'warring', 'rioting']",[]
rebel,['revolutionary'],[]
fighting,"['hostile', 'boxing', 'determined', 'angry', 'battling', 'fencing', 'contending']","['kind', 'peaceful', 'nice']"
hostile,"['opposed', 'nasty', 'bitter', 'alien', 'opposite', 'competitive']","['friendly', 'kind', 'helpful', 'pleasant', 'wonderful', 'welcoming', 'helping', 'nice', 'aiding', 'favorable', 'good', 'hot', 'warm', 'gentle']"
opposed,"['hostile', 'opposing', 'conflicting', 'crossing', 'counter', 'rival', 'disagreeing', 'facing', 'warring', 'confronting', 'against', 'defensive', 'enemy', 'opposite', 'disputed', 'objecting', 'battling', 'protesting', 'combating', 'defending', 'disputing', 'denying', 'exposing']","['friendly', 'kind']"
counter,"['conflicting', 'reverse', 'contrasting', 'opposed', 'against']","['similar', 'agreeing', 'equal', 'same']"
same,"['like', 'double', 'equal', 'twin', 'carbon', 'equivalent', 'comparable', 'likewise', 'related', 'similar', 'similarly', 'very']","['unlike', 'changing', 'variable', 'different']"
very,"['actual', 'appropriate', 'bare', 'correct', 'express', 'genuine', 'ideal', 'identical', 'mere', 'model', 'perfect', 'plain', 'precise', 'pure', 'right', 'same', 'sheer', 'simple', 'special', 'true']",[]
express,"['explicit', 'specific', 'set', 'individual', 'intended', 'considered', 'plain', 'pointed', 'direct', 'willing', 'particular', 'voiced', 'exact', 'clear', 'special', 'voluntary', 'accurate', 'distinct', 'expressed']","['uncertain', 'vague', 'usual', 'general', 'common', 'ordinary', 'normal', 'slow']"
explicit,"['precise', 'accurate', 'clear', 'positive', 'certain', 'obvious', 'exact', 'correct', 'absolute', 'direct', 'distinct', 'express', 'open', 'patent', 'plain', 'stated', 'sure']","['vague', 'uncertain', 'false', 'wrong', 'confused']"
absolute,"['sheer', 'full', 'complete', 'simple', 'pure', 'entire', 'total', 'free']","['uncertain', 'restricted', 'qualified', 'limited', 'part', 'partial', 'yielding', 'dependent']"
partial,"['limited', 'part', 'halfway']","['entire', 'total', 'complete', 'whole', 'fair', 'just']"
halfway,"['medium', 'central', 'center', 'fair', 'average', 'standard', 'neutral', 'common', 'moderate', 'mean', 'between', 'compromising']","['biased', 'extraordinary', 'unusual', 'extreme', 'outside', 'partial', 'end']"
medium,"['fair', 'normal', 'standard', 'middle', 'neutral', 'common', 'ordinary', 'moderate', 'mean', 'popular']","['unusual', 'biased', 'extraordinary', 'rare', 'partial', 'different', 'extreme']"
middle,"['medium', 'center', 'average', 'mean', 'inside', 'mainstream', 'between', 'halfway', 'inner']","['outer', 'extreme', 'outside', 'border']"
center,"['inside', 'interior', 'mean', 'deepest', 'inner', 'internal']","['external', 'outer', 'bordering', 'outside', 'extreme', 'edging']"
inside,"['central', 'inner', 'internal', 'surrounded']","['external', 'outer', 'known', 'outside', 'public']"
inner,"['close', 'constitutional', 'essential', 'familiar', 'inherent', 'inside', 'interior', 'internal', 'intimate']","['external', 'outer', 'outside', 'physical']"
inherent,"['constitutional', 'internal', 'essential', 'natural', 'genetic', 'fundamental', 'characteristic', 'distinctive', 'elementary', 'fixed', 'indigenous', 'individual', 'inherited', 'inner', 'integrated', 'intimate', 'native', 'original', 'resident']","['learned', 'extra', 'minor', 'added', 'external', 'acquired', 'secondary']"
internal,"['domestic', 'constitutional', 'private', 'national', 'civic', 'gut', 'home', 'indigenous', 'inherent', 'inner', 'inside', 'interior', 'intimate', 'municipal', 'native']","['external', 'outer']"
domestic,"['private', 'pet', 'home', 'calm', 'family', 'devoted', 'settled', 'trained']","['industrial', 'alien', 'business', 'office', 'foreign']"
home,"['central', 'family', 'familiar', 'household', 'local', 'national', 'native', 'internal']","['outside', 'foreign', 'business', 'commercial']"
household,"['ordinary', 'everyday', 'home', 'family', 'plain']","['special', 'industrial', 'different', 'business', 'commercial']"
everyday,"['normal', 'ordinary', 'frequent', 'usual', 'average', 'conventional', 'daily', 'familiar', 'informal', 'mainstream', 'plain', 'routine', 'stock']","['extraordinary', 'unusual', 'special', 'unexpected', 'rare', 'different']"
frequent,"['constant', 'numerous', 'usual', 'expected', 'general', 'everyday', 'familiar', 'many', 'thick', 'various']","['unusual', 'interrupted', 'permanent', 'occasional', 'ending', 'broken', 'ceasing', 'rare']"
numerous,"['great', 'big', 'large', 'diverse', 'various', 'several', 'thick']","['tiny', 'similar', 'few', 'lacking', 'little', 'small', 'uniform']"
several,"['any', 'certain', 'considerable', 'different', 'distinct', 'diverse', 'handful', 'individual', 'many', 'numerous', 'particular', 'personal', 'rare', 'separate', 'single', 'some', 'special', 'specific']","['individual', 'one', 'none']"
considerable,"['huge', 'great', 'major', 'substantial', 'reasonable', 'big', 'extensive', 'comfortable', 'marked', 'much', 'pretty']","['tiny', 'stupid', 'minor', 'little', 'minute', 'small', 'short', 'poor', 'slight']"
substantial,"['generous', 'extraordinary', 'solid', 'steady', 'valuable', 'large', 'massive', 'significant', 'big', 'serious', 'strong', 'meaningful', 'considerable', 'vast', 'material', 'firm', 'heavy', 'key', 'principal', 'sound', 'stable']","['tiny', 'minor', 'spiritual', 'soft', 'broken', 'slight', 'small', 'weak', 'little', 'mental', 'poor']"
massive,"['heavy', 'huge', 'enormous', 'imposing', 'big', 'grand', 'great', 'substantial', 'impressive', 'towering', 'extensive', 'vast', 'tremendous', 'gross', 'monster', 'solid', 'cracking']","['tiny', 'minor', 'little', 'slight', 'small', 'minute', 'common', 'poor', 'short', 'weak', 'limited', 'narrow']"
towering,"['imposing', 'soaring', 'massive', 'tall', 'extraordinary', 'extreme', 'fantastic', 'great', 'high', 'impressive', 'intense', 'outstanding', 'superior', 'tremendous', 'ultimate']","['tiny', 'minor', 'common', 'modest', 'ordinary', 'poor', 'small', 'little', 'low', 'short']"
soaring,"['towering', 'steep', 'flying', 'climbing']",['ground']
flying,"['floating', 'soaring', 'express', 'mobile', 'fleet', 'drifting', 'waving', 'streaming']","['slow', 'ground', 'grounded']"
floating,"['soaring', 'light', 'loose', 'free', 'swimming', 'sailing']","['heavy', 'sunk']"
light,"['sunny', 'bright', 'rich', 'clear', 'shining', 'brilliant', 'flashing']","['unhappy', 'dark', 'black', 'heavy', 'difficult', 'grave', 'serious']"
shining,[],['dark']
distinguished,"['honored', 'remarkable', 'brilliant', 'great', 'well-known', 'noted', 'prominent', 'name', 'striking', 'imposing', 'signal', 'celebrated', 'marked', 'arresting', 'shining', 'extraordinary', 'royal', 'special', 'superior']","['unknown', 'typical', 'stupid', 'standard', 'ordinary', 'normal', 'common']"
well-known,"['outstanding', 'leading', 'important', 'recognized', 'popular', 'known', 'noted', 'prominent', 'big', 'celebrated', 'common', 'large', 'name', 'public', 'somebody', 'star']","['unknown', 'ordinary']"
popular,"['favored', 'famous', 'attractive', 'beloved', 'suitable', 'prominent', 'accepted', 'approved', 'celebrated', 'leading', 'liked', 'noted', 'pleasing', 'praised', 'preferred', 'prevailing', 'selling', 'social', 'sought', 'in', 'promoted']","['old-fashioned', 'unknown', 'unusual', 'different']"
suitable,"['relevant', 'useful', 'reasonable', 'sufficient', 'fitting', 'good', 'suited', 'proper', 'correct', 'becoming', 'deserved', 'due', 'fit', 'happy', 'just', 'meet', 'merited', 'nice', 'right', 'swell']",['stupid']
merited,"['fitting', 'fit', 'deserved', 'due', 'proper', 'justified']",[]
stupid,"['simple', 'dumb', 'thick', 'dense', 'slow']","['intelligent', 'wise', 'careful', 'smart', 'reasonable', 'bright', 'sharp', 'serious', 'responsible']"
dumb,"['quiet', 'silent']","['intelligent', 'speaking', 'bright', 'sharp', 'smart']"
silent,"['close', 'dumb', 'faint', 'reserved', 'shy', 'still', 'checked']",['explicit']
shy,"['nervous', 'modest', 'suspicious', 'afraid', 'reluctant', 'reserved', 'retiring', 'shrinking', 'conscious']","['confident', 'brave', 'eager', 'willing', 'adequate', 'enough', 'sufficient', 'forward', 'bold', 'aggressive', 'calm', 'proud', 'bent']"
suspicious,"['careful', 'questioning', 'suspect', 'wondering', 'suspecting']","['believing', 'confident', 'convinced', 'trusting', 'certain', 'sure', 'innocent']"
suspect,"['suspected', 'open', 'incredible', 'ridiculous', 'suspicious', 'uncertain', 'unlikely']","['known', 'trusted', 'innocent']"
unlikely,"['rare', 'incredible', 'strange', 'remote', 'faint', 'slight']","['usual', 'possible', 'likely', 'common', 'regular', 'reasonable', 'probably']"
trusted,"['established', 'honored', 'devoted', 'reliable', 'loyal', 'close', 'proved', 'tried', 'intimate', 'sure', 'true']","['cool', 'false']"
loyal,"['devoted', 'believing', 'constant', 'firm', 'steady', 'true', 'attached']",[]
